date,cumulative_positive_otks_uploaded_ontario,daily_positive_otks_uploaded_ontario
2021-01-24,11359,77
2021-01-25,11442,83
2021-01-26,11527,85
2021-01-27,11617,90
2021-01-28,11695,78
2021-01-29,11775,80
2021-01-30,11842,67
2021-01-31,11919,77
2021-02-01,11982,63
2021-02-02,12042,60
2021-02-03,12103,61
2021-02-04,12164,61
2021-02-05,12213,49
2021-02-06,12269,56
2021-02-07,12326,57
2021-02-08,12369,43
2021-02-09,12428,59
2021-02-10,12468,40
2021-02-11,12522,54
2021-02-12,12593,71
2021-02-13,12646,53
2021-02-14,12682,36
2021-02-15,12722,40
2021-02-16,12768,46
2021-02-17,12809,41
2021-02-18,12857,48
2021-02-19,12915,58
2021-02-20,12963,48
2021-02-21,13007,44
2021-02-22,13053,46
2021-02-23,13105,52
2021-02-24,13156,51
2021-02-25,13222,66
2021-02-26,13272,50
2021-02-27,13314,42
2021-02-28,13364,50
2021-03-01,13414,50
2021-03-02,13474,60
2021-03-03,13537,63
2021-03-04,13602,65
2021-03-05,13682,80
2021-03-06,13735,53
2021-03-07,13776,41
2021-03-08,13827,51
2021-03-09,13910,83
2021-03-10,13970,60
2021-03-11,14034,64
2021-03-12,14109,75
2021-03-13,14207,98
2021-03-14,14273,66
2021-03-15,14331,58
2021-03-16,14418,87
2021-03-17,14511,93
2021-03-18,14604,93
2021-03-19,14685,81
2021-03-20,14792,107
2021-03-21,14868,76
2021-03-22,14979,111
2021-03-23,15065,86
2021-03-24,15178,113
2021-03-25,15269,91
2021-03-26,15385,116
2021-03-27,15502,117
2021-03-28,15621,119
2021-03-29,15750,129
2021-03-30,15886,136
2021-03-31,16026,140
2021-04-01,16177,151
2021-04-02,16354,177
2021-04-03,16542,188
2021-04-04,16713,171
2021-04-05,16905,192
2021-04-06,17083,178
2021-04-07,17290,207
2021-04-08,17517,227
2021-04-09,17731,214
2021-04-10,17999,268
2021-04-11,18231,232
2021-04-12,18450,219
2021-04-13,18692,242
2021-04-14,18927,235
2021-04-15,19140,213
2021-04-16,19341,201
2021-04-17,19551,210
2021-04-18,19752,201
2021-04-19,19917,165
2021-04-20,20070,153
2021-04-21,20238,168
2021-04-22,20429,191
2021-04-23,20611,182
2021-04-24,20781,170
2021-04-25,20910,129
2021-04-26,21049,139
2021-04-27,21198,149
2021-04-28,21331,133
2021-04-29,21465,134
2021-04-30,21586,121
2021-05-01,21736,150
2021-05-02,21869,133
2021-05-03,21979,110
2021-05-04,22075,96
2021-05-05,22204,129
2021-05-06,22318,114
2021-05-07,22425,107
2021-05-08,22519,94
2021-05-09,22618,99
2021-05-10,22698,80
2021-05-11,22781,83
2021-05-12,22855,74
2021-05-13,22948,93
2021-05-14,23034,86
2021-05-15,23105,71
2021-05-16,23157,52
2021-05-17,23206,49
2021-05-18,23265,59
2021-05-19,23340,75
2021-05-20,23383,43
2021-05-21,23420,37
2021-05-22,23466,46
2021-05-23,23508,42
2021-05-24,23542,34
2021-05-25,23570,28
2021-05-26,23611,41
2021-05-27,23646,35
2021-05-28,23669,23
2021-05-29,23703,34
2021-05-30,23723,20
2021-05-31,23733,10
2021-06-01,23757,24
2021-06-02,23767,10
2021-06-03,23783,16
2021-06-04,23800,17
2021-06-05,23812,12
2021-06-06,23825,13
2021-06-07,23834,9
2021-06-08,23846,12
2021-06-09,23863,17
2021-06-10,23881,18
2021-06-11,23893,12
2021-06-12,23906,13
2021-06-13,23911,5
2021-06-14,23921,10
2021-06-15,23929,8
2021-06-16,23938,9
2021-06-17,23941,3
2021-06-18,23945,4
2021-06-19,23950,5
2021-06-20,23956,6
2021-06-21,23960,4
2021-06-22,23966,6
2021-06-23,23968,2
2021-06-24,23974,6
2021-06-25,23980,6
2021-06-26,23986,6
2021-06-27,23990,4
2021-06-28,23993,3
2021-06-29,23999,6
2021-06-30,24001,2
2021-07-01,24007,6
2021-07-02,24014,7
2021-07-03,24017,3
2021-07-04,24022,5
2021-07-05,24025,3
2021-07-06,24028,3
2021-07-07,24032,4
2021-07-08,24036,4
2021-07-09,24038,2
2021-07-10,24040,2
2021-07-11,24042,2
2021-07-12,24044,2
2021-07-13,24048,4
2021-07-14,24050,2
2021-07-15,24053,3
2021-07-16,24054,1
2021-07-17,24055,1
2021-07-18,24055,0
2021-07-19,24057,2
2021-07-20,24062,5
2021-07-21,24066,4
2021-07-22,24073,7
2021-07-23,24074,1
2021-07-24,24077,3
2021-07-25,24080,3
2021-07-26,24083,3
2021-07-27,24088,5
2021-07-28,24092,4
2021-07-29,24096,4
2021-07-30,24098,2
2021-07-31,24099,1
2021-08-01,24100,1
2021-08-02,24104,4
2021-08-03,24109,5
2021-08-04,24113,4
2021-08-05,24122,9
2021-08-06,24132,10
2021-08-07,24145,13
2021-08-08,24158,13
2021-08-09,24164,6
2021-08-10,24173,9
2021-08-11,24186,13
2021-08-12,24198,12
2021-08-13,24216,18
2021-08-14,24231,15
2021-08-15,24239,8
2021-08-16,24248,9
2021-08-17,24263,15
2021-08-18,24280,17
2021-08-19,24295,15
2021-08-20,24310,15
2021-08-21,24329,19
2021-08-22,24347,18
2021-08-23,24366,19
2021-08-24,24381,15
2021-08-25,24394,13
2021-08-26,24417,23
2021-08-27,24436,19
2021-08-28,24456,20
2021-08-29,24474,18
2021-08-30,24483,9
2021-08-31,24502,19
2021-09-01,24521,19
2021-09-02,24544,23
2021-09-03,24566,22
2021-09-04,24584,18
2021-09-05,24596,12
2021-09-06,24615,19
2021-09-07,24630,15
2021-09-08,24653,23
2021-09-09,24680,27
2021-09-10,24702,22
2021-09-11,24725,23
2021-09-12,24736,11
2021-09-13,24745,9
2021-09-14,24759,14
2021-09-15,24777,18
2021-09-16,24803,26
2021-09-17,24817,14
2021-09-18,24833,16
2021-09-19,24849,16
2021-09-20,24871,22
2021-09-21,24886,15
2021-09-22,24902,16
2021-09-23,24915,13
2021-09-24,24932,17
2021-09-25,24947,15
2021-09-26,24961,14
2021-09-27,24974,13
2021-09-28,24986,12
2021-09-29,25001,15
2021-09-30,25011,10
2021-10-01,25028,17
2021-10-02,25036,8
2021-10-03,25051,15
2021-10-04,25060,9
2021-10-05,25076,16
2021-10-06,25089,13
2021-10-07,25110,21
2021-10-08,25136,26
2021-10-09,25152,16
2021-10-10,25166,14
2021-10-11,25173,7
2021-10-12,25178,5
2021-10-13,25187,9
2021-10-14,25197,10
2021-10-15,25220,23
2021-10-16,25228,8
2021-10-17,25239,11
2021-10-18,25244,5
2021-10-19,25251,7
2021-10-20,25267,16
2021-10-21,25283,16
2021-10-22,25290,7
2021-10-23,25302,12
2021-10-24,25311,9
2021-10-25,25320,9
2021-10-26,25331,11
2021-10-27,25343,12
2021-10-28,25355,12
2021-10-29,25373,18
2021-10-30,25386,13
2021-10-31,25392,6
2021-11-01,25407,15
2021-11-02,25417,10
2021-11-03,25424,7
2021-11-04,25442,18
2021-11-05,25461,19
2021-11-06,25484,23
2021-11-07,25495,11
2021-11-08,25509,14
2021-11-09,25528,19
2021-11-10,25549,21
2021-11-11,25573,24
2021-11-12,25590,17
2021-11-13,25622,32
2021-11-14,25634,12
2021-11-15,25651,17
2021-11-16,25671,20
2021-11-17,25687,16
2021-11-18,25719,32
2021-11-19,25745,26
2021-11-20,25774,29
2021-11-21,25787,13
2021-11-22,25809,22
2021-11-23,25829,20
2021-11-24,25857,28
2021-11-25,25894,37
2021-11-26,25927,33
2021-11-27,25955,28
2021-11-28,25982,27
2021-11-29,26014,32
2021-11-30,26052,38
2021-12-01,26093,41
2021-12-02,26147,54
2021-12-03,26200,53
2021-12-04,26245,45
2021-12-05,26278,33
2021-12-06,26315,37
2021-12-07,26361,46
2021-12-08,26417,56
2021-12-09,26498,81
2021-12-10,26594,96
2021-12-11,26671,77
2021-12-12,26753,82
2021-12-13,26849,96
2021-12-14,27000,151
2021-12-15,27225,225
2021-12-16,27517,292
2021-12-17,27846,329
2021-12-18,28187,341
2021-12-19,28495,308
2021-12-20,28843,348
2021-12-21,29280,437
2021-12-22,29856,576
2021-12-23,30686,830
2021-12-24,31538,852
2021-12-25,32166,628
2021-12-26,32792,626
2021-12-27,33409,617
2021-12-28,34158,749
2021-12-29,35086,928
2021-12-30,36035,949
2021-12-31,36830,795
2022-01-01,37523,693
2022-01-02,38137,614
2022-01-03,38607,470
2022-01-04,39061,454
2022-01-05,39560,499
2022-01-06,39979,419
2022-01-07,40430,451
2022-01-08,40782,352
2022-01-09,41035,253
2022-01-10,41251,216
2022-01-11,41478,227
2022-01-12,41706,228
2022-01-13,41941,235
2022-01-14,42185,244
2022-01-15,42382,197
2022-01-16,42530,148
2022-01-17,42677,147
2022-01-18,42780,103
2022-01-19,42902,122
2022-01-20,43036,134
2022-01-21,43153,117
2022-01-22,43255,102
2022-01-23,43330,75
2022-01-24,43406,76
2022-01-25,43493,87
2022-01-26,43591,98
2022-01-27,43680,89
2022-01-28,43754,74
2022-01-29,43812,58
2022-01-30,43861,49
2022-01-31,43907,46
2022-02-01,43979,72
2022-02-02,44041,62
2022-02-03,44112,71
2022-02-04,44161,49
2022-02-05,44211,50
2022-02-06,44256,45
2022-02-07,44296,40
2022-02-08,44351,55
2022-02-09,44407,56
2022-02-10,44455,48
2022-02-11,44503,48
2022-02-12,44535,32
2022-02-13,44563,28
2022-02-14,44586,23
2022-02-15,44649,63
2022-02-16,44682,33
2022-02-17,44726,44
2022-02-18,44765,39
2022-02-19,44796,31
2022-02-20,44821,25
2022-02-21,44848,27
2022-02-22,44876,28
2022-02-23,44926,50
2022-02-24,44982,56
2022-02-25,45035,53
2022-02-26,45078,43
2022-02-27,45106,28
2022-02-28,45130,24
2022-03-01,45169,39
2022-03-02,45209,40
2022-03-03,45243,34
2022-03-04,45279,36
2022-03-05,45309,30
2022-03-06,45329,20
2022-03-07,45368,39
2022-03-08,45405,37
2022-03-09,45452,47
2022-03-10,45507,55
2022-03-11,45554,47
2022-03-12,45591,37
2022-03-13,45615,24
2022-03-14,45646,31
2022-03-15,45713,67
2022-03-16,45761,48
2022-03-17,45819,58
2022-03-18,45861,42
2022-03-19,45914,53
2022-03-20,45950,36
2022-03-21,45993,43
2022-03-22,46058,65
2022-03-23,46133,75
2022-03-24,46221,88
2022-03-25,46287,66
2022-03-26,46339,52
2022-03-27,46388,49
2022-03-28,46438,50
2022-03-29,46519,81
2022-03-30,46624,105
2022-03-31,46726,102
2022-04-01,46824,98
2022-04-02,46924,100
2022-04-03,46971,47
2022-04-04,47026,55
2022-04-05,47139,113
2022-04-06,47255,116
2022-04-07,47374,119
2022-04-08,47483,109
2022-04-09,47572,89
2022-04-10,47639,67
2022-04-11,47699,60
2022-04-12,47787,88
2022-04-13,47911,124
2022-04-14,48007,96
2022-04-15,48113,106
2022-04-16,48167,54
2022-04-17,48226,59
2022-04-18,48288,62
2022-04-19,48376,88
2022-04-20,48448,72
2022-04-21,48538,90
2022-04-22,48611,73
2022-04-23,48682,71
2022-04-24,48726,44
2022-04-25,48764,38
2022-04-26,48821,57
2022-04-27,48895,74
2022-04-28,48948,53
2022-04-29,48991,43
2022-04-30,49031,40
2022-05-01,49063,32
2022-05-02,49099,36
2022-05-03,49137,38
2022-05-04,49173,36
2022-05-05,49231,58
2022-05-06,49263,32
2022-05-07,49293,30
2022-05-08,49319,26
2022-05-09,49340,21
2022-05-10,49383,43
2022-05-11,49428,45
2022-05-12,49452,24
2022-05-13,49478,26
2022-05-14,49515,37
2022-05-15,49538,23
2022-05-16,49556,18
2022-05-17,49593,37
2022-05-18,49609,16
2022-05-19,49635,26
2022-05-20,49650,15
2022-05-21,49662,12
2022-05-22,49673,11
2022-05-23,49685,12
2022-05-24,49701,16
2022-05-25,49721,20
2022-05-26,49738,17
2022-05-27,49757,19
2022-05-28,49772,15
2022-05-29,49786,14
2022-05-30,49804,18
2022-05-31,49818,14
2022-06-01,49831,13
2022-06-02,49844,13
2022-06-03,49855,11
2022-06-04,49861,6
2022-06-05,49866,5
2022-06-06,49877,11
2022-06-07,49893,16
2022-06-08,49916,23
2022-06-09,49929,13
2022-06-10,49946,17
2022-06-11,49955,9
2022-06-12,49959,4
2022-06-13,49967,8
